,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
212,Tsiroanomandidy,0,MG,1563766466,83,-18.77,46.05,50.87,3.58
213,Tallahassee,40,US,1563766301,94,30.44,-84.28,80.01,4.7
214,Loandjili,75,CG,1563766466,94,-4.77,11.87,71.6,3.36
215,Baykit,23,RU,1563766466,45,61.68,96.39,66.35,9.89
216,Chauk,100,MM,1563766467,83,20.89,94.82,79.85,9.26
217,Takayama,75,JP,1563766467,88,36.14,137.25,79.0,5.82
218,Saskylakh,9,RU,1563766467,38,71.97,114.09,74.99,12.71
219,Carutapera,0,BR,1563766468,91,-1.2,-46.02,72.65,4.47
220,Leshukonskoye,78,RU,1563766468,82,64.9,45.76,52.13,6.85
221,Batagay,61,RU,1563766468,42,67.65,134.64,51.95,7.25
222,Provideniya,90,RU,1563766469,87,64.42,-173.23,51.8,15.66
223,Ramgarh,0,IN,1563766469,46,27.26,75.18,94.07,10.36
224,Abatskoye,11,RU,1563766470,81,56.29,70.46,67.07,11.1
225,Mamedkala,34,RU,1563766470,62,42.17,48.12,78.59,10.09
226,Kathmandu,75,NP,1563766471,94,27.71,85.32,71.6,3.36
227,Todos Santos,5,MX,1563766471,65,23.45,-110.23,82.4,13.87
228,Ponta do Sol,32,BR,1563766471,81,-20.63,-46.0,56.63,7.52
229,Lompoc,90,US,1563766472,93,34.64,-120.46,64.4,5.82
230,Anloga,75,GH,1563766472,94,5.79,0.9,77.0,9.17
231,Antalya,0,TR,1563766472,30,36.9,30.69,84.2,12.75
232,Doha,0,QA,1563766472,75,25.29,51.53,89.6,5.82
233,Yulara,0,AU,1563766473,21,-25.24,130.99,71.6,3.36
234,Camacha,40,PT,1563766473,82,33.08,-16.33,69.8,9.17
235,Taitung,75,TW,1563766473,78,22.76,121.15,82.4,9.17
236,Sherpur,100,BD,1563766473,75,25.02,90.01,86.15,8.81
237,Kasane,0,BW,1563766474,68,-17.8,25.16,51.59,9.42
238,At-Bashi,0,KG,1563766474,56,41.17,75.81,58.97,3.29
239,Bogorodskoye,100,RU,1563766474,86,52.37,140.44,63.83,4.14
240,Mayo,75,CA,1563766475,24,63.59,-135.9,80.6,10.29
241,Lorengau,98,PG,1563766475,74,-2.02,147.27,83.45,5.88
242,Bayir,0,TR,1563766475,36,37.27,28.22,77.0,2.24
243,Honiara,40,SB,1563766476,62,-9.43,159.96,89.6,12.75
244,Bagdarin,100,RU,1563766476,92,54.44,113.59,56.63,2.08
245,Luanda,75,AO,1563766476,100,-8.83,13.24,66.2,2.24
246,Arlit,41,NE,1563766476,27,18.74,7.39,93.53,1.07
247,Darhan,100,MN,1563766477,92,49.49,105.92,60.41,7.23
248,Garowe,0,SO,1563766477,52,8.41,48.48,74.27,27.2
249,Fare,3,PF,1563766478,80,-16.7,-151.02,77.87,19.46
250,Pontianak,98,ID,1563766478,85,-0.02,109.34,79.31,10.94
251,Great Yarmouth,100,GB,1563766478,82,52.61,1.73,63.0,12.75
252,Conakry,94,GN,1563766479,86,9.52,-13.7,78.59,13.0
253,Quatre Cocos,75,MU,1563766479,88,-20.21,57.76,70.0,6.93
254,Sola,24,TZ,1563766479,62,-3.17,33.8,65.63,11.07
255,Suamico,20,US,1563766480,64,44.63,-88.04,69.8,10.29
256,Ahuimanu,75,US,1563766480,94,21.44,-157.84,87.8,14.99
257,Namatanai,71,PG,1563766480,76,-3.66,152.44,81.29,5.73
258,Peto,46,MX,1563766481,71,20.13,-88.92,79.49,2.62
259,Viransehir,0,TR,1563766481,28,37.24,39.76,74.81,1.97
260,Chokurdakh,100,RU,1563766482,83,70.62,147.9,39.17,16.78
261,Oranjemund,0,ZA,1563766482,80,-28.55,16.43,56.09,7.94
262,Iqaluit,90,CA,1563766482,93,63.75,-68.52,39.2,6.93
263,Upernavik,97,GL,1563766482,94,72.79,-56.15,43.13,8.05
264,Chuy,100,UY,1563766483,89,-33.69,-53.46,65.27,13.94
265,Port Augusta,0,AU,1563766483,27,-32.49,137.76,68.0,24.16
266,Ratnagiri,89,IN,1563766483,84,16.98,73.3,81.65,21.05
267,Grand-Lahou,93,CI,1563766484,96,5.24,-5.0,73.01,4.03
268,Khatanga,0,RU,1563766484,28,71.98,102.47,80.39,5.86
269,Vilhena,98,BR,1563766484,56,-12.74,-60.15,72.29,2.86
270,Mpika,0,ZM,1563766484,85,-11.84,31.4,52.67,11.01
271,Akhtubinsk,100,RU,1563766485,56,48.29,46.17,73.37,10.2
272,Rogers,1,US,1563766434,69,36.33,-94.12,84.99,4.7
273,Odda,95,NO,1563766485,90,60.07,6.55,57.99,4.88
274,Guaruja,0,BR,1563766485,59,-23.99,-46.26,64.4,4.7
275,Khromtau,0,KZ,1563766486,58,50.26,58.44,69.77,9.17
276,Souillac,0,FR,1563766486,82,45.6,-0.6,66.99,2.24
277,Markova,75,RU,1563766486,100,52.21,104.21,64.99,4.47
278,Meulaboh,88,ID,1563766487,70,4.14,96.13,80.39,6.62
279,Yokadouma,100,CM,1563766487,99,3.52,15.05,66.53,0.89
280,Beloha,0,MG,1563766487,75,-25.17,45.06,53.03,5.57
281,Kota Belud,75,MY,1563766488,75,6.35,116.43,89.6,4.7
282,Shirokaya Rechka,0,RU,1563766488,77,56.8,60.49,66.2,11.18
283,Nueva Loja,27,EC,1563766488,98,0.08,-76.88,68.51,2.55
284,Urusha,100,RU,1563766489,97,54.05,122.9,58.79,6.78
285,Filingue,100,NE,1563766489,48,14.35,3.32,87.59,1.97
286,Puerto Penasco,99,MX,1563766200,78,31.32,-113.53,86.0,7.0
287,Ust-Kuyga,100,RU,1563766490,60,70.0,135.55,43.67,7.65
288,Gemlik,0,TR,1563766491,100,40.43,29.16,72.0,2.24
289,Los Llanos de Aridane,90,ES,1563766492,68,28.66,-17.92,71.6,14.99
290,Calama,0,CL,1563766492,20,-22.46,-68.93,46.99,13.87
291,Merritt Island,75,US,1563766492,94,28.54,-80.67,81.0,5.01
292,Guadalupe Victoria,90,MX,1563766492,100,21.68,-105.33,68.0,6.76
293,Batagay-Alyta,55,RU,1563766493,51,67.8,130.41,48.35,4.09
294,Karpinsk,100,RU,1563766493,94,59.76,60.01,61.67,1.39
295,Bandarbeyla,100,SO,1563766493,48,9.49,50.81,78.41,28.43
296,Niquero,0,CU,1563766493,71,20.04,-77.58,84.89,9.44
297,Yeppoon,40,AU,1563766494,41,-23.13,150.74,77.0,6.93
298,Araouane,78,ML,1563766494,34,18.9,-3.53,94.43,9.82
299,Esperance,90,AU,1563766494,93,-33.86,121.89,51.8,24.16
300,Rodbyhavn,100,DK,1563766494,91,54.65,11.35,60.01,14.45
301,Kiunga,100,PG,1563766495,76,-6.12,141.3,78.41,2.26
302,Westport,1,US,1563766324,69,41.14,-73.36,86.0,8.05
303,Nioro,69,GM,1563766495,71,13.79,-15.05,79.67,12.28
304,Pangnirtung,99,CA,1563766495,86,66.15,-65.72,44.21,3.67
305,George,94,MW,1563766496,97,-15.35,34.83,53.57,6.53
306,Kirakira,100,SB,1563766496,76,-10.46,161.92,82.55,12.57
307,Axim,86,GH,1563766496,90,4.87,-2.24,76.07,10.96
308,Santa Fe,100,AR,1563766496,56,-31.62,-60.7,63.0,13.0
309,Pontes e Lacerda,100,BR,1563766497,54,-15.23,-59.33,72.83,1.57
310,Teguise,90,ES,1563766497,78,29.06,-13.56,71.6,16.11
311,Candolim,75,IN,1563766497,94,15.52,73.76,78.8,6.93
312,Povenets,2,RU,1563766498,67,62.85,34.83,57.17,1.97
313,Ilulissat,40,GL,1563766498,87,69.22,-51.1,46.4,3.36
314,Tomatlan,100,MX,1563766499,76,19.93,-105.25,80.57,4.85
315,Tucurui,57,BR,1563766499,78,-3.77,-49.67,73.55,1.61
316,Muros,90,ES,1563766500,100,42.77,-9.06,68.0,4.7
317,Flin Flon,12,CA,1563766500,49,54.77,-101.88,67.61,3.24
318,Chiredzi,0,ZW,1563766500,95,-21.05,31.67,46.91,1.88
319,Mincivan,29,AZ,1563766501,59,39.03,46.72,71.93,1.3
320,Russell,1,US,1563766501,73,38.9,-98.86,73.0,5.82
321,Horsham,0,AU,1563766502,55,-36.71,142.2,57.71,21.43
322,Tazovskiy,54,RU,1563766282,84,67.47,78.7,57.53,9.01
323,Northam,75,AU,1563766502,72,-31.65,116.67,59.0,8.05
324,Bandar-e Lengeh,0,IR,1563766419,75,26.56,54.88,91.4,11.41
325,Ilanskiy,3,RU,1563766502,67,56.24,96.06,65.99,5.55
326,Pemba,75,MZ,1563766503,77,-12.97,40.52,69.8,13.87
327,Porto Novo,0,BR,1563766503,77,-23.68,-45.44,60.8,3.36
328,Benesov,0,CZ,1563766503,93,49.78,14.69,61.0,5.82
329,Griffith,0,AU,1563766503,42,-34.29,146.06,62.6,2.24
330,Lucea,20,JM,1563766504,79,18.44,-78.17,84.2,9.17
331,Pisco,90,PE,1563766482,87,-13.71,-76.2,61.0,9.17
332,Oistins,75,BB,1563766504,78,13.07,-59.53,82.4,14.99
333,Lambarene,100,GA,1563766504,91,-0.7,10.22,70.85,3.36
334,Innisfail,93,AU,1563766505,53,-17.52,146.03,75.0,3.0
335,Kastamonu,0,TR,1563766207,82,41.38,33.78,52.13,2.1
336,Biltine,83,TD,1563766505,51,14.53,20.93,79.85,4.83
337,Berlevag,0,NO,1563766506,63,70.86,29.09,66.2,11.41
338,Lavrentiya,58,RU,1563766506,80,65.58,-170.99,52.31,15.57
339,Barcelona,0,ES,1563766314,69,41.38,2.18,77.0,4.7
340,Marsa Matruh,0,EG,1563766506,73,31.35,27.25,75.2,5.82
341,Kursenai,40,LT,1563766506,93,55.98,22.92,60.8,8.05
342,Mbini,40,GQ,1563766507,100,1.58,9.62,75.2,4.7
343,Arraial do Cabo,5,BR,1563766507,79,-22.97,-42.02,69.41,25.37
344,Chapais,75,CA,1563766507,71,49.78,-74.86,53.6,4.7
345,Morondava,0,MG,1563766508,62,-20.3,44.28,63.83,19.62
346,Parintins,5,BR,1563766508,91,-2.63,-56.73,72.83,5.75
347,Lazaro Cardenas,20,MX,1563766508,25,28.39,-105.62,87.8,6.93
348,Nishihara,75,JP,1563766509,100,35.74,139.53,78.01,4.7
349,Casimiro Castillo,100,MX,1563766509,89,19.6,-104.44,71.57,2.19
350,Bikin,98,RU,1563766509,78,46.82,134.25,72.65,3.8
351,Palmer,0,AU,1563766510,39,-34.85,139.16,64.99,25.28
352,Dingle,9,PH,1563766510,70,11.0,122.67,85.61,4.36
353,Yerbogachen,100,RU,1563766510,39,61.28,108.01,70.85,12.71
354,Palma di Montechiaro,0,IT,1563766511,88,37.19,13.77,72.0,4.36
355,Flic en Flac,75,MU,1563766511,88,-20.27,57.36,70.0,6.93
356,Floro,100,NO,1563766511,71,61.6,5.03,57.2,13.87
357,Wanning,28,AT,1563766512,93,48.64,13.53,63.0,1.12
358,Posse,0,BR,1563766512,54,-14.08,-46.36,70.13,10.02
359,Lavumisa,0,ZA,1563766512,86,-27.31,31.88,37.4,1.12
360,Mount Gambier,40,AU,1563766512,48,-37.83,140.78,62.6,21.92
361,Bathsheba,75,BB,1563766513,78,13.22,-59.52,82.4,14.99
362,Warwick,75,US,1563766513,62,41.7,-71.42,84.2,4.7
363,Vostok,96,RU,1563766513,63,46.45,135.83,75.53,5.95
364,Kununurra,45,AU,1563766514,40,-15.77,128.74,86.0,5.82
365,Imbituba,40,BR,1563766514,88,-28.24,-48.67,66.2,11.41
366,Braila,0,IT,1563766514,73,45.95,10.93,73.4,5.82
367,Adwa,67,ET,1563766514,85,14.16,38.9,61.49,2.1
368,Mecca,0,SA,1563766389,47,21.43,39.83,81.65,7.54
369,Celestun,100,MX,1563766515,79,20.87,-90.4,82.73,19.51
370,Marawi,100,PH,1563766515,81,8.0,124.29,84.0,5.01
371,Vila Velha,40,BR,1563766516,74,-3.71,-38.6,78.8,8.05
372,La Ronge,20,CA,1563766516,64,55.1,-105.3,69.8,3.36
373,Noumea,0,NC,1563766516,49,-22.28,166.46,73.4,12.75
374,Nemuro,75,JP,1563766516,72,43.32,145.57,68.0,10.29
